text,label,sentiment
A cute niya umiilaw nman siya. I will order again para mas lalo maliwanag.,4,Positive
First time order sa shop nato at di ko inakalang Ang Ganda ng mga tela hindi mainit sa katawan. will recommend this shop. sa uulitin pag may extra ulit. Sakto lang Yung price sa mga item.,4,Positive
Madaling masira yung sa may sinisintasan nya. Wala rin syang box. Sana mas ginawa pa na matibay para sana sulit yung pagkakabili,2,Negative
Maganda naman sya mas malaki lang sa ineexpect ko nagystuhan naman nung nagpabili wala syang choice.,4,Positive
All goods na tester q 1. 2v ngalang pro ok Naman charge nalang mamaya tnx sa seller good condition manam alang tupi maganda pag ka package next tym ulit nalimutan q mag order Ng AAA para sa tester q hehehe,4,Positive
hindi sya anti rad mas lalong masisira mata nyo. blurred vision and masakit sa ulo try nyo muna mag search bago kayo bumili ng anti rad eyeglasses sa online,0,Negative
Malamig yung hangin kahit hindi malamig na tubig o walang ice. Pero syempre mas malamig yung hangin kung may ice. Sana magtagal. Good quality. Will order again,4,Positive
"sakto lang, cute sya pero hindi ganon katagal yung battery",2,Neutral
Ok Naman ang packaging pero May mga small parts na nabaklas sa loob Kaya may sounds na umaalog sa loob.,2,Neutral
Mabilis lang yung pagdeliver kaso parang gamit na yung stand ng cp,2,Negative
Arrived today ang bilis nya dumating thank youuuuu may ganito ako before na wala lang yung brush kaya bumili nalang ako ulit ng complete set,4,Positive
Napakanipis lang pala parang bondpaper lang pero maganda naman ang pagka glossy nya. Sana talaga di nlang ito binili ko hahaha! Di ko alam nipis pala ng 115gsm bondpaper lang talaga ang thickness nya. Package is well packed oorder nalang ulit ng mas thick sguro. Thank you!,2,Neutral
"Two stars only, so sad the one in pink color is not functioning. Hindi gumagana. Sira talaga. Hindi man pwede buksan at testengan habang nariyan pa ang rider.",1,Negative
"super tagal tas 43 lang dapat babayaran ko pero naging 49 pesos, maganda nga ng product pangit naman ng processing ng seller.",2,Negative
Maganda siya kso sabog ung speker Pwd po kaya palitan,2,Neutral
Nalaglag lang pala sa loob mg Buble rap in isa. Pwd na,0,Positive
Wrong color design. Sana kung di na available yung black mag message namn kayo if ano available. Desisyon yarrrnnn? Kakainis ganitong seller.,1,Negative
August 2024 pa ang expiration date! Buy 1 take 1 kaya anlaki ng natipid ko. Salamat unilever!,4,Positive
Kakaunti laman walang polvoron at yung letter then yung toy ata yon hindi sya violet ibang kulay kaya nga ako pumili ng violet kasi yun ang gusto tapos di ganun yung dumating. Sadlyf ang pag bibigyan ko neto HAHAHA,1,Negative
thank you! got my order at may pafree pang sabon sana effective yung product sakin at order ulit ako pag paubos na sa rider thank you kahit napag intay kita di ko alam natawag ka pala eh,4,Positive
"Bat ito yung dumting hindi naman to ang order ko tumbler, naman ang order ko alam nyo ba nagbabayad naman ako nang sakto bat wag nyo kaying ganyan manluko ng costumer nyo.",4,Negative
Super cute at ang lakas! Gustong gusto ng mga kids. Thank you so much.,4,Positive
Wrong size ang sinend sakin na pink. I ordered 36- 37 but 38- 39 ang dumating.,3,Negative
"Kala ko basura ung ideniliver s akin. Yuping yupi ung box. S unang tingin mo, wasak n ung laman ng box. Buti at working parin ung item.",0,Neutral
Sira ang item! Vacuum hose sira. Automatic Water pump hose wala! tagal pa nag replacement 12 days na akong nag aantay!,0,Negative
Akala ko may free gift kasi nakalagay doon meron pero maganda naman siya mabango din okay naman packaging niya,2,Positive
i hope na di sha maiinit sa katawan at presko makapal kase pero magandaaaa i love it and may perfume sya na kasama para mabango yung damit,4,Positive
"Working naman po sya. Maliit pala sya as what I expected. It works, pero minsan lang magkacrash. Na try ko google chrome magkacrash sya minsan. Yung netflix sa browser ko lang na try kasi di pwede sa apps. Okay naman yung youtube. Di ko pa natry ibang apps kasi youtube lang naman at netflix palagi.",3,Neutral
Murang Halaga Mabilis Ship out Ang ganda ng Item Pasok at Swak sa Budget Oorder ulit ako Bagay na bagay sa mga sneaker shoes,4,Positive
very nice as always ilang beses na ako naka order dito na shop ng mga ganitpmg ribbon kaso yung off white parang yellow hindi siya off white sad pero still thank you seller,3,Neutral
excelllent yung quality. legit! ang tagal bago na process un orders pero mabilis nmn dumatng. yun nga lang sa 22pcs na orders ko 14 lang un dumating. ang mahal ng shipping. although responsive naman c seller and nag offer na sya ng refund. update. ok na un refund. thanks,3,Neutral
Okay na sana kaso wring size lang dumating. XXL naging XL buti na lang di masyado maliit,2,Neutral
Madumi at hindi ganun ka ganda yung socks. Ito lang hindi ko nagustuhan sa order ko. Pero okay naman lahat.,1,Neutral
So upset. oo Mura lng pero dpt b sira? oo wla nmng perpekto pero sna chinicheck mo seller. tgal hinintay tpos gnto lng Buti pla isa lng inorder ko. d manlng nasiyahan. sna nmn pkiayos d k din responsive. nku Po lht nsayo na.,0,Negative
Edit ko na. Yung dalawang items wala pang 1 week sira na ayaw na mag ilaw. baka na over charge. 6 binili ko dalawa ang not quality. patay ang ilaw pag walang tao,3,Negative
Di tumagal. Natanggal yung mga pages kahit di naman tinutupi. Mahina ang pagkakadikit. Photos not related and for coins only. Kakaiba pala yung texture nung cover niya not the usual book cover. Buy at your own risk.,2,Negative
Okay naman yung item so far medyo pahirapan lang pag connect ng netflix at hindi responsive si seller. Magtatanong ka pero tanong rin isasagot sayo. Thanks!,3,Neutral
Ung damit di the same sa pic ibang color Ang PINADALA mejo manipis din ung tela nya but it' s okay for it' s price. Pambabahay ko nalang Kung mapapansin sa pic ko magkaiba kulay Kase ung light may flash sa cam. Pero pag walang flash ayan tapos Wala syang plastic naka rekta sya sa shopee bag.,2,Neutral
Maganda naman sulit sa price pero sana nxt time iayos naman sa balot kaloka beh isang pilas lng eh parang sinuksok lang sa envelope. Tas tagal din dumating kaloka umabot ng 9 days hahhahahs,2,Neutral
Ok na po sana lahat ng item na order ko. d2 lng ako na dis apoint sa mini speaker. kahit ka chacharge lng po battery low agad. music pa naman sana para sa baby ko habang natutulog.,0,Negative
Okay ang packaging. balot na balot. walang spill. maganda sa skin talaga. nagustuhan ng mama ko. salamat seller and sa rider.,4,Positive
This is my second order in this shop Because this shop is affordable items lalo nat ikaw ay isang student at nag si sell din the best ang shop nato. I hope na di magbabago yong price ng products. Safe naman yong packaging niya pero may dalawang damaged lang lumabas yong tinta ng pen. And yong ibang pen para siyang na dislocate para siyang nabali. I hope sa next order ko ok na,3,Neutral
"Medyo manipis, nevertheless maganda parin naman yjng quality. Ang maganda lang is super accommodating yung seller and naka pack ng maayos yung item.",3,Positive
Magandaa kaso anlaki pala nyaa bulky yung itsura ng watch,3,Neutral
"Maganda naman sana sya ang kasu sira yung hawakan, may punit din kunti.",1,Negative
Gumana Naman medyo mabilis Ang shipment Yung Netflix di gumana pero nagawan ng paraan dahil sa China nagaling I don' t expect na may update to 8 or higher,3,Neutral
Haha nag expect talaga ako kala ko may frebie na malaki ng halaga pero alam ko den naman na baka joke lang at joke nga nakuha ko is yung pang ipit lang nila or pang tali hahahahahhaaha expectation vs reality,3,Neutral
Grabe not satisfied costumer. why naman di gumagana pinadala nyo sakin? nagchat ako na sana okey ang dumating. para lang ako nagtapon ng 159,0,Negative
Ok yong mic gumagana pero yong spiltter hindi sayang akala kopanaman pwede kona ma gamit pero over all yong mic ang pinaka importante,3,Neutral
Thank you Beyond the box. Bilis nila mag ship kaso ang tagal ni Shopee Xpress mag deliver. I should have placed my order sa Lazada hindi sana inabot ng 10days. Baka 2days lang kay Lazada.,4,Neutral
yung size nila same. lamg ung xl at xxl small size sya,2,Negative
Sana nxt time ibox nmn hnd ung basta plastic lng lagayan,2,Negative
Nag momoist ung ibabaw ng ref Pangit delivery binagsak po ung ref nung nilapag lol. Ano pong magandang solution pra mawala ung moist?,2,Negative
Sira ung item ndi fumagana walang tunof kahit full charge hahay syang ang pero ko,4,Negative
I thought malakas sya medyo na disappoint ako kase mahina pala sya tas di pa clear yung mga sounds at magaan pa,2,Negative
tapos Yung puting bag Naman okay lang Naman sya bet Ng KAPATID ko rin pero di ko inakala manipis pala sakto sa presyo,3,Neutral
Ang bilis lang malowbat. d man lang makapuno ng isang phone Tsk D ku sha ni re re commend,0,Negative
Sakto sa hinahanap kong tool for my new business venture.,4,Positive
sunog agad ung pad nyo no ba yan ka2rating lang kanina sunog agad vaper ako alam ko set up ausin nyo product nyo kalusugan ang nakataya dto! buti my xtra ung pamangkin ko na pad binigyan nya na lang ako la na talaga legit sa panahon ngaun!,0,Negative
"maganda sya kase may salicylic acid and also niacinamide which is nakakahelp talaga sa amoy lang talaga ako hindi satisfied pero okay naman product na to kase dermatologist tested. edit: super effective weeks palang makikita mo na, natuyo agad pimps ko i will order again!",4,Positive
HAHAHAHA nakakatawa lang na okay sana yung product kaso gusto lang naman sama isuot na ehh biglang putol agad HAHAHA just received the product and hindi ko man lang maisuot to HUHUHU sayang.,0,Negative
Ito talag yong hinahanap ko dahil magaan lng sya tapos hindi basag yong sound nya. at pwede mo pang dalhin kahit saan,2,Positive
Thank you thank you seller super good item and no damage sobrang inigatan gustong gusto ng anak ko at sakto sa araw ng online class,4,Positive
"Ok nmm madali lng napigtas ung sa likod but it can serve its purpose, tahiin ko n lng. hjkkkkggfc. ghjjjjjgfddfjj",3,Neutral
I' m very disappointing hindi po gumagana Ang powerbank na binili ko dito and hindi konarin mpo marereturn and refund kaya advice ko sa inyo wag po kayo bumili sa shop nato masasayang lang Ang Pera nyo,0,Negative
Poor quality! I don' t know kung sino may kasalanan seller or the courier? Pag dating samin may yupi na knowing na yung product is fragile hindi man lang iningatan! Well what can you expect sa mura? So disappointed!,2,Negative
mali yung dumating. order q ay 2liters 1liter lang dumating tapos mali sin yung kulay. pero ok na din napapakinabangan din naman.,1,Neutral
May yupi lang yung box pero okay naman ang products. Excellent quality tapos ang ganda ng kulay. Wa mabait din ang nagdeliver. Thank you!,4,Positive
"nice po siya, medyo nadisappoint lang ako kasi na expectation vs reality ako sa size niya hahaha salamat shopee. sakto yung color. mukhang matibay naman siya. sana magtagal sakin to hehe. was shipped immediately very good po.",2,Positive
Ok na sana eh ang cute kaso ambilis malowbat kakaumay,2,Negative
"ang akala ko square pants. jogger pala. kasi ang nkalagay square pants tapos yung picture hindi jogger, 2 star kasi hindi ako satisfy. salamat parin sa shoppe at kuya rider.",1,Negative
Wala pang isang buwan Sira na ang isa sa dalawang items na binili namin,2,Negative
maganda naman siya kaso nga lang lumobo naman yung battery niya dati na atang nagagamit kasi lumobo eH. bilis malobat 15 minutes lobat na ang hina pa,4,Negative
"Goods naman kaso di ko alam na maliit pala size nila, sa iba kasi size6 ako dito pala dapat size7. Maganda dij yung black na inorder ko.",3,Neutral
Nagbabyad po ako ng tama pero sira ang binigay ni seller na item. Kung nd niyo kaya gampanan ang trabaho niyo bilang online seller wag na po kayong magtinda d2. Hindi ko po pinulot yung pera sa tabi2x pinagpapawisan ko rin yan at pinagpaguran nsayang lng yung pera k sa wala.,0,Negative
"Ang gandaaa sakto lang sakin yung sizes. First time ko magsusuot ng ganto, kasi sanay ako lagi na tshirt. Time to change fashion ganern hahahahha. Pero ang gaganda talaga ng damit pati yung tela kering keri teh. Madami pa ako nakasave sa cart hahahha, check out ko next.",4,Positive
Okay naman yung product but yung tela ay manipis and yung inorder kong black is iba yung size kesa dun sa beige,2,Neutral
Kala ko malakas sound nya mahina pala. tas umaalog pa cya,1,Negative
Namamatay matay Yung ilaw pero nagan nawawala konti diko Alam king bakit,3,Negative
Sayang lng Ang Pera ayaw tumunog. nagchacharge nman pero pag in on na Wala n nman tunog,0,Negative
"Hndi man lng maka full charge ng cp Loabat kagad itomg powerbank na to Yung seller di nag rereply Rider mainipin, umaalis. agad. kattawag lng pag labas. mo. wala. kagad, keso nagmamadali dw sya",1,Negative
Goods na goods ung phone and legit natagalan lang talaga sa shipping without any reason ambagal din mag reply ni seller puro automated chat pa diko gusto ung service nila pero sa deliver ok na siguro 1 week bago ko marecieve. Goods sa gaming Pati camera goods den Wellpacked naman sya,1,Neutral
"Hindi siguro maiiwasang mayupi yung box, pero safe naman yung item.",4,Neutral
"Oks naman ang balot, sa sobrang secure ng balot nya, parang ayaw na magpabukas. Oks naman ang product for me, kumpleto. Ang kaso mukhang naligo sa oil na pang makina bago isend saken. I bought numbers naman in other store pero walang oil yon. Medyo hassle lang. Pero product itself, its ok.",3,Neutral
"Goods Naman pero Hindi siya malakas and yung driver hindi binigay sukli ko, tinawag ko siya pero Dere deretso lang siya umalis",1,Negative
Ang masasabi ko lang parang kagaya lang din ito ng ibang eyelash curler iba lang ng design sa mga luma,3,Neutral
Ang liit pla payat n nga anak ko hindi kasya pang bata lang ang size niya hindi pwede sa teenager na tulad ng amak ko,0,Negative
"water proof nga will order again pag naubos ang ink from china pero bilis ng shipping at delivery usually mga order ko from china umaabot ng 2 weeks pero ito 1 week lng,",4,Positive
"Dali lng malowbat yung powerbank na inorder ko. Kahit full charge sya tapos gmitin mo, lwbt na agad.",1,Negative
"iba ang kulay na nasa pic, nagustuhan ko sya kasi dark color ang naka present sa picture pero in reality na parang natural lip lang ang datingan kahit paulit ulit ko nang inapply, try ko kapalan pero pero ganon parin very light color langnawala ung excitement ko na bumili ulit sa kimuse shop",1,Negative
"I really like it! 5 star! Very comfy sa paa. Yung material nya akala ko medyo matigas pero I was wrong, malambot parang mas malambot pa sa crocs. Sakto lang sa paa ko ang size 36- 37. Mabilis delivery. Thank you seller. PS. Ilang araw ko nang gamit pero malinis pa rin naman.",4,Positive
"okay ung quality maganda naman mukhang mamahalin, pero iba ung naibigay na kulay ni seller. sinabihan naman ako na iba maishiship out pero ang downside is, kala ko may pouch pa din na kasama. wrong item na wala pang pouch okay na din to kesa ibalik pa, baka mawalan pa ko ng pang regalo.",2,Neutral
Maganda pagka a lot sulit yung haul na to. I love colpal products hiyang po boung family Maganda pagka a lot sulit yung haul na to. I love colpal products hiyang po boung family Maganda pagka a lot sulit yung haul na to. I love colpal products hiyang po boung family,4,Positive
Thank you so muchhhh! Napaka gaganda all in mga beh! Pabudol na din kayo hahahahaha ang Ganda as in! Thank you so so much po.,4,Positive
Di ko pa siya natatry. Yun lang kasi parang di ko gusto yung amoy. Amon sabon na ewan na parang detergent. Mabilis namang nadeliver din 2 days lang andito na.,2,Neutral
"okay yung white, pero ibang mustard nakuha ko? off shoulder? hindi naman nakalagay dito na ganun eh. bakit naman ganun?",2,Negative
"Order received, okay naman and complete orders. Oks na sana kaya lang, gusot yung bag, at hindi pulido ang pag kaka screw nung handle, as seen sa video.",2,Neutral
